race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
4,3,Leisure and Sports,17,8,5,4,4,2,2,1,0,0,0,2,1,7,11,13,11,11,16,17,22,20,27,27,32,32,36,36,39,45,46,53,65,60,62,56,64,61,65,59,63,69,69,56,55,43,36,25
4,3,Traveling,6,3,2,0,0,0,0,0,0,0,1,0,3,20,25,23,5,5,6,10,7,7,16,9,15,12,11,12,23,33,24,27,30,15,12,16,19,7,14,13,14,7,9,6,6,2,4,3
4,3,Other,4,1,0,0,0,0,0,0,1,1,2,6,12,10,9,6,4,7,14,16,17,16,20,21,18,19,23,27,23,21,21,19,27,19,23,18,23,15,18,16,19,15,15,14,10,7,7,10
4,5,Sleeping,86,97,103,104,112,116,121,122,241,119,119,115,115,110,106,89,85,71,66,38,33,24,20,11,11,8,10,11,14,14,13,16,16,12,15,14,14,10,9,4,5,4,6,13,28,36,57,68
4,5,Grooming,11,5,1,1,2,1,0,0,0,1,4,4,1,3,11,12,17,10,20,18,16,10,9,3,6,7,8,8,4,2,5,4,2,2,10,9,7,6,2,6,10,9,10,14,13,8,14,11
4,5,Working and related activities,2,2,3,3,3,2,2,2,4,2,2,3,5,4,4,4,6,9,9,12,14,16,18,16,18,16,14,13,14,16,15,12,13,14,17,11,9,7,6,6,6,3,3,3,3,3,3,2
4,5,Educational Activities,14,12,10,6,4,2,1,0,4,4,4,5,6,6,8,9,13,17,26,30,32,32,36,38,39,36,41,38,36,35,44,39,46,37,38,26,27,23,28,26,27,26,27,33,33,28,30,16
4,5,Eating and Drinking,4,2,2,2,1,1,1,1,0,0,1,2,4,5,6,9,12,12,23,17,12,13,21,18,36,36,43,30,14,9,9,8,8,6,14,25,32,31,34,31,33,28,25,14,8,3,3,3
4,5,Leisure and Sports,39,23,17,15,13,5,4,2,1,0,1,1,1,4,11,14,15,15,19,21,26,25,23,21,25,26,28,30,39,36,38,38,48,40,46,45,53,56,58,59,64,62,66,73,70,59,60,44
4,5,Traveling,4,2,2,0,4,4,2,1,2,1,1,4,3,5,8,9,17,14,11,22,26,20,20,17,22,22,29,30,24,17,29,18,28,20,30,22,28,21,16,16,17,12,19,22,20,8,12,4
4,5,Other,7,2,2,2,1,3,4,0,0,0,0,1,4,4,10,14,13,13,17,16,26,29,42,48,46,36,34,32,33,37,37,34,37,31,40,33,37,34,32,35,32,23,28,23,19,15,14,6
