"grp","day"
1,"s,75,o,15,o,30,w,10,o,20,o,10,o,25,c,430,o,20,o,20,s,65,o,15,o,15,o,60,w,30,o,15,o,30,o,30,o,30,o,150,o,105,s,240"
1,"s,300,o,15,o,10,o,90,o,65,o,10,o,30,o,25,o,30,o,25,o,120,w,90,o,45,o,120,o,45,s,420"
1,"s,300,o,20,w,90,o,60,o,70,o,20,o,10,w,30,o,3,w,12,w,90,o,30,o,20,o,40,o,30,o,15,o,60,o,60,w,30,o,20,o,40,o,15,o,30,o,20,s,325"
1,"s,240,o,75,o,690,o,15,o,60,o,30,o,30,s,300"
1,"s,120,o,300,o,240,o,15,o,60,o,15,o,60,o,30,o,30,o,25,o,45,o,15,w,90,s,395"
1,"s,360,o,30,o,90,o,15,o,120,o,15,o,30,o,10,o,230,o,180,o,60,o,120,s,180"
1,"s,480,o,2,o,5,o,113,o,5,o,1,o,60,o,1,o,5,o,10,o,158,o,20,o,520,s,60"
1,"s,480,o,60,o,60,o,60,o,120,o,60,o,120,o,90,o,60,o,60,o,30,o,60,s,180"
4,"s,330,o,90,c,60,o,30,c,330,o,90,o,30,o,30,w,150,o,30,w,120,s,150"
2,"s,240,o,15,o,30,c,15,c,120,o,10,o,140,o,30,s,90,o,60,o,30,o,60,o,120,o,20,s,460"
1,"s,360,o,5,o,60,o,90,o,5,o,120,o,5,o,15,o,15,o,240,o,15,o,20,w,180,s,310"
1,"s,360,o,15,o,120,o,30,o,120,o,30,o,10,o,20,o,5,o,190,o,5,o,20,o,15,o,60,o,60,o,5,s,375"
1,"s,120,s,60,o,15,o,165,o,15,o,165,o,15,o,60,o,20,o,180,o,10,o,105,o,10,o,2,o,20,o,90,o,30,s,358"
4,"s,180,o,15,o,15,o,5,o,145,o,60,o,20,o,10,o,30,o,30,o,30,s,390,o,10,o,20,o,120,o,120,o,60,s,180"
2,"s,360,o,30,o,10,w,200,o,120,w,180,o,120,s,420"
2,"s,300,o,15,o,10,o,35,o,5,o,295,o,10,o,15,o,10,o,7,o,60,o,18,o,10,o,90,o,5,o,20,o,320,s,215"
4,"s,180,o,60,o,90,o,390,o,90,o,45,o,195,o,60,s,330"
2,"s,240,o,15,o,30,o,30,o,30,o,20,o,2,o,5,o,20,o,10,o,30,o,10,c,218,o,20,o,25,o,10,o,300,s,25,o,160,o,30,o,10,o,10,o,10,o,10,o,2,o,10,o,1,o,10,o,5,o,30,o,60,o,10,s,42"
2,"s,180,o,90,o,30,o,5,o,45,c,220,w,60,o,45,o,5,o,10,o,90,s,90,o,2,o,5,o,25,o,15,o,193,o,20,o,10,o,25,o,5,o,15,s,255"
