race,activities
2,"s,300,o,90,o,15,o,15,o,110,o,20,o,80,o,135,o,15,o,25,o,3,o,5,o,7,o,10,o,3,o,157,s,90,o,60,s,300"
1,"s,360,o,20,o,220,o,20,o,90,o,70,o,60,o,10,o,40,o,10,o,60,o,60,o,240,s,180"
1,"s,120,o,10,o,5,o,5,w,95,c,290,o,25,c,121,o,5,o,74,w,60,o,30,w,120,o,60,s,420"
1,"s,240,o,15,o,30,o,15,o,330,o,15,o,10,o,95,o,30,o,60,o,60,o,180,o,20,o,40,o,15,o,45,s,240"
2,"s,330,o,150,o,37,o,11,o,22,o,2,o,10,o,13,o,100,o,20,o,85,o,7,o,15,o,83,o,5,o,68,o,5,o,27,o,30,o,45,o,60,s,315"
2,"s,195,o,45,o,6,o,90,o,114,o,2,o,238,o,45,s,255,o,30,w,150,o,30,o,30,o,10,s,80,s,120"
1,"s,120,o,90,o,10,o,140,o,10,o,20,o,45,o,285,o,45,o,1,o,60,o,194,o,60,o,30,o,5,o,55,s,270"
1,"o,270,o,15,o,60,o,10,o,60,w,45,o,30,s,950"
1,"s,540,o,30,o,10,o,30,o,20,o,20,o,15,o,60,o,20,o,60,o,5,o,10,o,2,o,10,o,28,o,40,o,30,o,70,o,5,o,15,o,5,o,85,o,103,s,227"
1,"s,180,o,30,o,10,o,140,o,60,o,150,o,10,o,20,o,60,o,60,o,90,o,30,o,30,o,30,o,60,o,15,o,105,o,30,o,30,s,300"
1,"s,360,o,30,o,15,o,10,o,60,w,120,o,60,o,15,o,65,o,30,s,45,o,270,w,45,s,315"
1,"s,330,o,30,o,30,c,240,o,30,w,180,o,90,o,120,o,30,s,360"
1,"s,390,o,30,o,30,o,20,o,30,o,10,o,120,o,10,o,45,o,20,o,5,o,120,w,180,o,30,o,90,o,10,s,300"
1,"s,300,o,15,o,90,s,60,o,15,o,45,o,60,c,75,o,60,o,60,o,45,o,60,o,45,o,15,o,135,o,15,o,45,s,300"
1,"s,360,o,60,o,60,o,90,w,30,o,30,o,75,o,20,o,115,o,15,o,15,o,15,o,5,o,20,o,5,o,75,o,30,o,85,o,5,o,10,o,5,s,315"
1,"s,165,o,30,o,25,c,200,o,45,c,165,o,10,o,20,o,60,w,105,o,5,o,30,o,15,w,30,o,3,o,90,o,4,o,30,o,30,o,120,s,258"
1,"s,120,o,30,o,45,o,10,o,245,o,30,o,240,o,20,w,60,o,5,o,90,o,15,o,5,o,60,o,45,o,20,o,10,o,120,o,20,o,60,s,190"
1,"s,300,o,5,o,10,o,105,o,30,o,20,o,20,o,230,o,30,o,45,o,120,o,105,o,90,s,330"
1,"s,360,o,20,o,40,o,45,o,45,o,10,o,25,o,10,o,30,o,10,o,90,o,10,o,30,o,15,o,10,o,120,o,15,o,45,o,30,o,40,o,20,o,30,o,60,s,330"
1,"s,210,o,2,o,2,o,10,o,136,o,10,o,30,o,10,o,60,o,45,o,85,o,2,o,10,o,2,o,30,o,5,o,60,o,5,o,45,o,120,o,60,o,15,o,30,o,30,s,426"
1,"s,300,o,60,w,90,o,30,w,60,o,120,o,20,o,25,o,135,o,15,o,105,o,30,o,30,w,120,o,5,s,295"
1,"s,150,o,30,o,15,o,5,o,30,o,10,c,300,o,60,c,180,o,10,o,30,o,45,o,60,o,30,o,5,o,30,o,120,s,330"
1,"s,140,o,10,o,10,o,5,o,15,o,20,o,5,o,1,o,5,o,15,o,20,o,10,w,60,o,44,o,60,o,20,o,20,o,10,o,30,w,60,o,30,o,15,o,35,o,5,o,5,o,15,o,2,o,5,o,2,o,46,o,20,o,30,o,5,o,5,o,5,o,30,o,30,o,5,o,80,o,30,o,20,o,10,o,10,o,20,o,10,o,15,w,60,o,30,o,30,s,275"
2,"s,111,o,54,o,8,o,32,c,425,o,8,o,120,w,60,o,82,o,30,o,180,s,330"
1,"s,90,o,30,o,10,o,1,o,2,o,10,c,247,o,30,c,180,o,5,o,1,o,12,s,90,o,42,o,1,o,2,o,10,o,30,o,10,o,120,o,120,o,90,o,1,o,30,o,5,o,10,s,261"
1,"s,240,o,60,o,15,o,45,o,60,o,60,o,240,o,20,o,5,o,10,o,120,o,20,o,90,o,5,o,5,o,15,o,60,o,15,o,6,o,5,o,20,s,324"
1,"s,150,o,120,o,15,o,75,w,90,o,60,o,20,o,70,o,60,o,120,o,60,o,30,o,30,o,60,o,30,o,60,w,180,s,210"
1,"s,480,o,120,o,180,o,30,o,20,o,20,o,15,o,20,o,30,o,5,o,60,o,15,o,45,o,15,o,10,o,10,o,30,o,120,s,215"
1,"s,240,o,30,o,20,o,10,o,15,o,45,o,60,o,300,o,15,o,10,o,60,o,30,o,20,o,120,o,120,o,30,s,315"
1,"s,240,o,10,w,10,o,10,o,15,o,5,o,2,w,210,o,2,o,30,o,2,w,244,o,3,o,10,o,4,o,10,o,30,o,75,o,120,o,78,o,5,s,325"
1,"s,150,o,20,o,5,o,15,o,80,w,30,o,20,o,145,o,15,o,15,o,15,o,20,s,60,o,45,o,15,o,55,o,5,o,160,o,10,o,220,o,1,o,339"
4,"s,50,o,60,o,30,o,30,o,5,o,5,o,15,o,1,o,15,o,5,o,20,o,124,o,15,o,165,o,15,o,105,o,20,o,5,o,15,o,5,o,30,o,1,o,20,o,10,o,90,o,44,o,30,o,30,o,120,s,360"
1,"s,540,o,30,o,15,o,5,o,60,o,240,o,90,o,15,o,5,o,30,o,90,o,30,o,15,s,275"
4,"s,170,o,15,o,5,o,90,o,60,o,10,o,5,o,10,o,120,o,20,o,5,o,15,o,5,o,60,w,120,o,3,o,90,o,45,o,2,o,1,o,10,o,35,o,30,o,90,o,60,o,15,s,349"
1,"s,240,o,5,o,60,o,2,w,60,o,3,c,80,o,60,o,5,w,45,o,5,c,85,o,10,s,50,o,15,o,10,o,105,o,15,o,90,o,5,w,130,o,10,o,45,s,305"
1,"o,60,o,20,o,20,o,5,o,15,o,90,c,480,o,15,o,120,o,3,o,1,o,5,o,90,o,5,o,1,o,15,o,45,o,180,o,10,o,110,o,15,o,90,o,15,o,2,o,15,s,13"
2,"s,270,o,15,o,10,o,10,o,90,o,15,c,75,o,15,o,10,o,10,o,5,o,5,o,60,o,10,o,15,o,25,o,90,w,30,o,10,o,15,c,180,o,15,o,10,w,90,o,15,o,60,o,20,o,90,o,15,s,160"
1,"s,300,o,120,o,60,o,60,o,120,w,300,o,10,o,30,w,50,o,2,w,43,o,5,o,45,o,115,o,10,s,170"
2,"s,180,o,30,o,15,o,5,o,30,o,90,o,10,s,150,o,30,o,60,o,20,o,20,o,45,o,5,o,10,o,5,o,20,o,115,o,60,o,90,o,90,o,10,s,350"
1,"s,360,o,120,o,10,o,60,o,5,o,30,o,10,o,30,o,270,o,60,o,30,o,125,s,330"
1,"s,300,o,5,o,30,o,5,o,1,o,40,o,360,o,40,o,30,o,89,o,2,o,238,o,5,o,2,o,5,s,48,s,240"
1,"s,420,w,240,o,3,o,102,o,255,o,3,o,2,o,30,o,5,w,50,s,330"
1,"s,330,o,30,o,90,o,10,o,50,o,45,o,30,o,60,o,5,o,90,o,40,o,150,o,15,o,75,o,30,o,150,o,30,s,210"
1,"s,90,o,45,o,15,c,330,o,60,c,390,o,30,c,30,o,15,o,45,s,390"
1,"s,300,o,45,o,5,o,5,o,105,o,5,o,10,o,15,o,90,o,5,o,5,o,30,o,5,o,105,o,50,o,20,o,10,o,10,o,15,o,10,o,15,o,90,o,30,o,30,o,2,o,58,s,370"
1,"s,360,o,30,w,60,o,30,o,15,o,120,o,15,w,120,o,25,o,245,o,15,o,90,o,105,o,5,s,205"
1,"s,360,w,180,o,30,o,150,o,30,o,30,w,300,o,30,s,330"
1,"s,180,o,60,o,10,c,180,o,23,c,240,o,10,w,60,o,45,o,30,o,120,o,60,o,30,s,392"
1,"s,240,o,60,o,10,c,410,o,10,w,50,o,30,w,360,s,270"
